冰卡布奇諾咖啡(J),600,163,,,,,,,,,,,,,,,,
冰焦糖瑪琪雅朵(M),360,549,,,,,,,,,,,,,,,,
冰焦糖瑪琪雅朵(L),480,725,,,,,,,,,,,,,,,,
冰焦糖瑪琪雅朵(J),600,902,,,,,,,,,,,,,,,,
冰榛果拿鐵咖啡(M),360,568,,,,,,,,,,,,,,,,
冰榛果拿鐵咖啡(L),480,762,,,,,,,,,,,,,,,,
冰榛果拿鐵咖啡(J),600,956,,,,,,,,,,,,,,,,
冰靜岡抹茶咖啡(L),480,231,,,,,,,,,,,,,,,,
冰靜岡抹茶咖啡(J),600,307,,,,,,,,,,,,,,,,
芒果冰茶,,157,,,,,,,,,,,,,,,,
芒果冰沙?(L),480,318,,,,,,,,,,,,,,,,
芒果冰沙?(J),600,394,,,,,,,,,,,,,,,,
芒果冰咖啡,,157,,,,,,,,,,,,,,,,
柳橙汁(M),360,123,,,,,,,,,,,,,,,,
柳橙汁(L),480,171,,,,,,,,,,,,,,,,
柳橙汁(J),600,220,,,,,,,,,,,,,,,,
蘋果汁(M),360,131,,,,,,,,,,,,,,,,
蘋果汁(L),480,182,,,,,,,,,,,,,,,,
蘋果汁(J),600,229,,,,,,,,,,,,,,,,
熱巧克力(S),240,151,,,,,,,,,,,,,,,,
熱巧克力(M),360,192,,,,,,,,,,,,,,,,
熱巧克力(L),480,240,,,,,,,,,,,,,,,,
熱鮮奶(S),240,150,,,,,,,,,,,,,,,,
熱鮮奶(M),360,191,,,,,,,,,,,,,,,,
熱鮮奶(L),480,239,,,,,,,,,,,,,,,,
冰巧克力(M),360,144,,,,,,,,,,,,,,,,
冰巧克力(L),480,192,,,,,,,,,,,,,,,,
冰巧克力(J),600,247,,,,,,,,,,,,,,,,
冰鮮奶(M),360,191,,,,,,,,,,,,,,,,
冰鮮奶(L),480,266,,,,,,,,,,,,,,,,
冰鮮奶(J),600,341,,,,,,,,,,,,,,,,
極致黑糖珍珠撞奶(L),480,271,,,,,,,,,,,,,,,,
極致黑糖珍珠撞奶(J),600,338,,,,,,,,,,,,,,,,
香草巧克力冰沙?(L),480,384,,,,,,,,,,,,,,,,
香草巧克力冰沙?(J),600,439,,,,,,,,,,,,,,,,
摩卡碎片冰沙?(L),480,402,,,,,,,,,,,,,,,,
摩卡碎片冰沙?(J),600,496,,,,,,,,,,,,,,,,
黃金蜂蜜香柚冰沙?(L),480,312,,,,,,,,,,,,,,,,
黃金蜂蜜香柚冰沙?(J),600,312,,,,,,,,,,,,,,,,
冰英式紅茶(J),600,0,,,,,,,,,,,,,,,,
冰靜岡抹茶拿堤(L),480,258,,,,,,,,,,,,,,,,
冰靜岡抹茶拿堤(J),600,335,,,,,,,,,,,,,,,,
冰靜岡玉露抹茶(L),480,126,,,,,,,,,,,,,,,,
冰靜岡玉露抹茶(J),600,169,,,,,,,,,,,,,,,,
冰英式珍珠鮮奶茶(L),480,261,,,,,,,,,,,,,,,,
冰紅茶歐蕾(L),480,251,,,,,,,,,,,,,,,,
冰紅茶歐蕾(J),600,328,,,,,,,,,,,,,,,,
冰清綠茶(L),480,0,,,,,,,,,,,,,,,,
冰清綠茶(J),600,0,,,,,,,,,,,,,,,,
冰黃金蜂蜜香柚紅茶(L),480,116,,,,,,,,,,,,,,,,
冰黃金蜂蜜香柚紅茶(J),600,179,,,,,,,,,,,,,,,,
熱柚香桔茶(M),360,105,,,,,,,,,,,,,,,,
熱柚香桔茶(L),480,158,,,,,,,,,,,,,,,,
熱紅茶歐蕾(M),360,55,,,,,,,,,,,,,,,,
熱紅茶歐蕾(L),480,78,,,,,,,,,,,,,,,,
熱舒緩花草茶,400,0,,,,,,,,,,,,,,,,
熱經典伯爵茶,400,0,,,,,,,,,,,,,,,,
熱經典伯爵奶茶,400,107,,,,,,,,,,,,,,,,
熱英式紅茶,480,0,,,,,,,,,,,,,,,,
熱清綠茶,400,0,,,,,,,,,,,,,,,,
熱洋甘菊金萱烏龍茶,400,0,,,,,,,,,,,,,,,,
熱靜岡玉露抹茶(M),360,16,,,,,,,,,,,,,,,,
熱靜岡玉露抹茶(L),480,22,,,,,,,,,,,,,,,,
熱靜岡抹茶拿堤(M),360,217,,,,,,,,,,,,,,,,
熱靜岡抹茶拿堤(L),480,291,,,,,,,,,,,,,,,,
熱台灣蜜香紅茶,400,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
