咖啡拿鐵燕麥奶(熱)中,354,195,,,,,,,,,,,,,,,,
咖啡拿鐵燕麥奶(冰)大,660,353,,,,,,,,,,,,,,,,
咖啡拿鐵燕麥奶(熱)大,472,263,,,,,,,,,,,,,,,,
卡布奇諾(冰)中,500,205,,,,,,,,,,,,,,,,
卡布奇諾(熱)中,354,195,,,,,,,,,,,,,,,,
卡布奇諾(冰)大,660,266,,,,,,,,,,,,,,,,
卡布奇諾(熱)大,472,270,,,,,,,,,,,,,,,,
卡布奇諾燕麥奶(熱)中,354,178,,,,,,,,,,,,,,,,
卡布奇諾燕麥奶(熱)大,472,264,,,,,,,,,,,,,,,,
焦糖風味拿鐵(冰)中,500,241,,,,,,,,,,,,,,,,
焦糖風味拿鐵(熱)中,354,190,,,,,,,,,,,,,,,,
焦糖風味拿鐵(冰)大,660,352,,,,,,,,,,,,,,,,
焦糖風味拿鐵(熱)大,472,261,,,,,,,,,,,,,,,,
焦糖風味拿鐵燕麥奶(冰)中,500,222,,,,,,,,,,,,,,,,
焦糖風味拿鐵燕麥奶(熱)中,354,169,,,,,,,,,,,,,,,,
焦糖風味拿鐵燕麥奶(冰)大,660,324,,,,,,,,,,,,,,,,
焦糖風味拿鐵燕麥奶(熱)大,472,234,,,,,,,,,,,,,,,,
榛果風味拿鐵(冰)中,500,242,,,,,,,,,,,,,,,,
榛果風味拿鐵(熱)中,354,190,,,,,,,,,,,,,,,,
榛果風味拿鐵(冰)大,660,352,,,,,,,,,,,,,,,,
榛果風味拿鐵(熱)大,472,262,,,,,,,,,,,,,,,,
榛果風味拿鐵燕麥奶(冰)中,500,223,,,,,,,,,,,,,,,,
榛果風味拿鐵燕麥奶(熱)中,354,170,,,,,,,,,,,,,,,,
榛果風味拿鐵燕麥奶(冰)大,660,324,,,,,,,,,,,,,,,,
榛果風味拿鐵燕麥奶(熱)大,472,240,,,,,,,,,,,,,,,,
香草風味拿鐵(冰)中,500,241,,,,,,,,,,,,,,,,
香草風味拿鐵(熱)中,354,189,,,,,,,,,,,,,,,,
香草風味拿鐵(冰)大,660,351,,,,,,,,,,,,,,,,
香草風味拿鐵(熱)大,472,261,,,,,,,,,,,,,,,,
香草風味拿鐵燕麥奶(冰)中,500,222,,,,,,,,,,,,,,,,
香草風味拿鐵燕麥奶(熱)中,354,169,,,,,,,,,,,,,,,,
香草風味拿鐵燕麥奶(冰)大,660,322,,,,,,,,,,,,,,,,
香草風味拿鐵燕麥奶(熱)大,472,234,,,,,,,,,,,,,,,,
橘皮風味拿鐵(冰)中,500,246,,,,,,,,,,,,,,,,
橘皮風味拿鐵(熱)中,354,195,,,,,,,,,,,,,,,,
橘皮風味拿鐵(冰)大,660,359,,,,,,,,,,,,,,,,
橘皮風味拿鐵(熱)大,472,269,,,,,,,,,,,,,,,,
橘皮風味拿鐵燕麥奶(冰)中,500,227,,,,,,,,,,,,,,,,
橘皮風味拿鐵燕麥奶(熱)中,354,175,,,,,,,,,,,,,,,,
橘皮風味拿鐵燕麥奶(冰)大,660,331,,,,,,,,,,,,,,,,
